code,name,level,parent_code
27610,Xã Bình Lợi,xa,79
27619,Xã Bình Hưng,xa,79
27628,Xã Hưng Long,xa,79
27637,Xã Bình Chánh,xa,79
27655,Xã Nhà Bè,xa,79
27658,Xã Hiệp Phước,xa,79
27664,Xã Cần Giờ,xa,79
27667,Xã Bình Khánh,xa,79
27673,Xã An Thới Đông,xa,79
27676,Xã Thạnh An,xa,79
